codIBGE,municipio,ano,UF,expecvida,AmpT,Tmax,Tmin,homicidios,mortinf,acidtrans,renda_pc,indgini,razao_renda,IDHM,lnexpecvida,lnAmpT,lnTmax,lnTmin,lnrenda_pc,d1990,d2000,d2010,regiao
1301407,Eirunepé,2000,AM,62.23,14.5,33.6,19.1,0,51.85,NA,138.2,0.64,36.82,409,4.13083719858113,2.67414864942653,3.51452606696916,2.94968833505258,4.92870191133357,0,1,0,Norte
1301407,Eirunepé,2010,AM,70.37,16.3,35.2,18.9,19.19,24.4,20.43,241.86,0.62,29.68,563,4.25376703597846,2.79116510781272,3.56104608260405,2.9391619220656,5.48835904635713,0,0,1,Norte
1301605,Fonte Boa,1990,AM,59.56,9.2,31.9,22.7,0,65.43,NA,133.72,0.47,10.58,449,4.08698420781581,2.21920348405499,3.4626060097908,3.12236492448736,4.8957480615519,1,0,0,Norte
1301605,Fonte Boa,2000,AM,61.25,11.3,32.6,21.3,9.31,59.65,20.11,161.97,0.64,49.54,0.32,4.11496384942484,2.42480272571829,3.48431228837266,3.05870707271538,5.08741113289831,0,1,0,Norte
1301605,Fonte Boa,2010,AM,68.13,11.6,33.9,22.3,25.78,31.3,36.91,200.4,0.62,34.65,0.53,4.22141764478558,2.45100509811232,3.5234150143864,3.10458667846607,5.30031536921071,0,0,1,Norte
1301902,Itacoatiara,1990,AM,65.04,NA,36.2,NA,6.8,43.6,3.4,218.63,0.55,17.07,565,4.17500246523956,NA,3.58905911883173,NA,5.3873808032888,1,0,0,Norte
1301902,Itacoatiara,2000,AM,69.44,13.4,34,20.6,4.07,31.46,21.68,235.91,0.6,22.38,491,4.24046307035209,2.59525470695687,3.52636052461616,3.02529107579554,5.46345037635874,0,1,0,Norte
1301902,Itacoatiara,2010,AM,73.66,11.7,35.2,23.5,13.55,15.31,7.64,373.71,0.59,22.58,644,4.29945991101692,2.45958884180371,3.56104608260405,3.15700042115011,5.92348009556611,0,0,1,Norte
1302405,Lábrea,1990,AM,60.91,12.1,33.1,21,3.02,59.59,NA,151.9,0.63,25.21,413,4.10939736484839,2.4932054526027,3.49953328238302,3.04452243772342,5.02322240960173,1,0,0,Norte
1302405,Lábrea,2000,AM,66.26,15.5,34.1,18.6,3.38,42.43,NA,136.22,0.66,43.89,386,4.19358639687175,2.7408400239252,3.52929738428947,2.92316158071916,4.91427122581317,0,1,0,Norte
